,zip,city,county,pop,ZIP,LAT,LNG,_merge,gundo_lat,gundo_long,Est_Dist_from_Home (Miles)
537,92124,San Diego,San Diego,32600,92124,32.823766,-117.092378,both,33.92735,-118.41591,108.0294408
538,91354,Valencia,Los Angeles,32544,91354,34.465755,-118.553789,both,33.92735,-118.41591,38.06628403
539,95358,Modesto,Stanislaus,32524,95358,37.612612,-121.108568,both,33.92735,-118.41591,296.2896449
540,91107,Pasadena,Los Angeles,32503,91107,34.155533,-118.086178,both,33.92735,-118.41591,24.62204502
541,92123,San Diego,San Diego,32473,92123,32.806794,-117.13493,both,33.92735,-118.41591,107.1554671
542,95118,San Jose,Santa Clara,32421,95118,37.25552,-121.889995,both,33.92735,-118.41591,301.9003591
543,93001,Ventura,Ventura,32396,93001,34.03734,-119.800786,both,33.92735,-118.41591,79.79145063
544,92596,Winchester,Riverside,32256,92596,33.665848,-117.04966,both,33.92735,-118.41591,80.58644698
545,93940,Monterey,Monterey,32236,93940,36.57469,-121.840854,both,33.92735,-118.41591,266.3339738
546,90807,Long Beach,Los Angeles,32202,90807,33.82774,-118.17482,both,33.92735,-118.41591,15.46417739
547,95662,Orangevale,Sacramento,32172,95662,38.689174,-121.218435,both,33.92735,-118.41591,364.4752045
548,90803,Long Beach,Los Angeles,32126,90803,33.756289,-118.130636,both,33.92735,-118.41591,20.21338588
549,95377,Tracy,San Joaquin,32091,95377,37.673944,-121.517227,both,33.92735,-118.41591,312.0793365
550,90601,Whittier,Los Angeles,32053,90601,34.00784,-118.030271,both,33.92735,-118.41591,22.81165895
551,94941,Mill Valley,Marin,32009,94941,37.897665,-122.563172,both,33.92735,-118.41591,359.6202828
552,94610,Oakland,Alameda,31936,94610,37.811406,-122.242458,both,33.92735,-118.41591,343.6899284
553,91941,La Mesa,San Diego,31918,91941,32.759333,-116.997247,both,33.92735,-118.41591,115.0901807
554,95632,Galt,Sacramento,31911,95632,38.274451,-121.259201,both,33.92735,-118.41591,340.0338219
555,90008,Los Angeles,Los Angeles,31754,90008,34.009552,-118.346724,both,33.92735,-118.41591,6.933846964
556,91303,Canoga Park,Los Angeles,31586,91303,34.198292,-118.600913,both,33.92735,-118.41591,21.5307752
557,94589,Vallejo,Solano,31536,94589,38.18735,-122.224074,both,33.92735,-118.41591,363.4615056
558,93004,Ventura,Ventura,31525,93004,34.278679,-119.165615,both,33.92735,-118.41591,49.33695829
559,95482,Ukiah,Mendocino,31482,95482,39.135023,-123.259338,both,33.92735,-118.41591,449.5113586
560,93618,Dinuba,Tulare,31470,93618,36.521012,-119.389446,both,33.92735,-118.41591,187.6373086
561,94107,San Francisco,San Francisco,31461,94107,37.76046,-122.399724,both,33.92735,-118.41591,346.5966582
562,94132,San Francisco,San Francisco,31436,94132,37.72222,-122.484077,both,33.92735,-118.41591,347.6958059
563,94102,San Francisco,San Francisco,31392,94102,37.779588,-122.419318,both,33.92735,-118.41591,348.2976714
564,93101,Santa Barbara,Santa Barbara,31371,93101,34.418979,-119.709166,both,33.92735,-118.41591,81.44433814
